=== probe armed: 14/14 hooks. Do your actions now; each firing logs here. ===
92.112  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BCEEEB9BF8 a2=UScriptStruct: 000001BCEEB97658 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
92.519  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEEBAAF8 a2=UObject: 000001BCEEEB96F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
92.615  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BCEEEB94F8 a2=UScriptStruct: 000001BCC0C8F6C8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
96.209  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6F239C68 a2=UObject: 000001BC6F23C568 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
96.232  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6F23C968 a2=UObject: 000001BC6F239768 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
100.598  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BAE821A7D8 a2=UObject: 000001BAE821BBD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
100.671  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BABB044B68 a2=UObject: 000001BABB044D68 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
101.232  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6ED1B9F8 a2=UObject: 000001BC6ED1B2F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
101.233  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6ED1B8F8 a2=UObject: 000001BC6ED1BAF8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
101.279  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6ED1B0F8 a2=UObject: 000001BC6ED1ADF8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
